schema_version	experiment_id	profile	activation_id	event_code	clock_domain	timestamp_value	timestamp_unit	node
c2-timing-event-v1	C2	all	9009899fee4446c089899fee44c6c070	DB500	unix_ns	1784739057324000000	ns	filtered-markers
c2-timing-event-v1	C2	all	9009899fee4446c089899fee44c6c070	DB510	unix_ns	1784739057342999808	ns	filtered-markers
c2-timing-event-v1	C2	all	f37eb740e9474960beb740e9474960eb	DB500	unix_ns	1784739057416999936	ns	filtered-markers
c2-timing-event-v1	C2	all	f37eb740e9474960beb740e9474960eb	DB510	unix_ns	1784739057430000128	ns	filtered-markers
c2-timing-event-v1	C2	all	bb64c06957084dfda4c06957087dfddf	DB500	unix_ns	1784739057508000000	ns	filtered-markers
c2-timing-event-v1	C2	all	bb64c06957084dfda4c06957087dfddf	DB510	unix_ns	1784739057520000000	ns	filtered-markers
c2-timing-event-v1	C2	all	3b012ae499824e65812ae499826e6561	DB500	unix_ns	1784739057596000000	ns	filtered-markers
c2-timing-event-v1	C2	all	3b012ae499824e65812ae499826e6561	DB510	unix_ns	1784739057601999872	ns	filtered-markers
c2-timing-event-v1	C2	all	a28f5c62ecc54f758f5c62ecc5af7593	DB500	unix_ns	1784739057683000064	ns	filtered-markers
c2-timing-event-v1	C2	all	a28f5c62ecc54f758f5c62ecc5af7593	DB510	unix_ns	1784739057691000064	ns	filtered-markers
c2-timing-event-v1	C2	all	c11b18b3e71e47299b18b3e71ef72910	DB500	unix_ns	1784739058023000064	ns	filtered-markers
c2-timing-event-v1	C2	all	c11b18b3e71e47299b18b3e71ef72910	DB510	unix_ns	1784739058035000064	ns	filtered-markers
c2-timing-event-v1	C2	all	05e896399c7b437ea896399c7b637e1e	DB500	unix_ns	1784739058114000128	ns	filtered-markers
c2-timing-event-v1	C2	all	05e896399c7b437ea896399c7b637e1e	DB510	unix_ns	1784739058130000128	ns	filtered-markers
c2-timing-event-v1	C2	all	08ffe0d3504f450dbfe0d3504f250dde	DB500	unix_ns	1784739058453999872	ns	filtered-markers
c2-timing-event-v1	C2	all	08ffe0d3504f450dbfe0d3504f250dde	DB510	unix_ns	1784739058476999936	ns	filtered-markers
c2-timing-event-v1	C2	all	e6cc4fdaf3074b9f8c4fdaf307cb9fa3	DB500	unix_ns	1784739058800000000	ns	filtered-markers
